camera,number,setup,result_1,result_2,result_3,result_4
oak-d,2,1,0.3969197171554071,1.1082248201525724,0.0005626590516152845,[4.77065082 3.97156215 2.47464187 1.47468848]
oak-d,10,3,1.5656957593631207,0.6374237550389629,2604.4148449139643,
oak-d,11,1,1.310053157187245,1.2056962269094074,4.817685568312061e-06,[1.32626184 1.61894411 0.83500116 2.44262702]
oak-d,12,2,0.9997859799010418,572.2433275404351,,
oak-d,13,2,0.9995859389876985,710.319466004166,,
oak-d,14,2,0.9999994430853074,145.93858674414454,,
oak-d,1,1,0.1303079846618302,0.2039556165848323,8.015148906868652e-06,[0.3879865  3.58692761 0.76782254 0.49755684]
oak-d,3,1,0.39054249500646215,0.6909359769078037,0.00048583790534814213,[4.91053399 5.79502915 3.41003679 4.18206827]
oak-d,4,1,0.3899406947194283,0.290810346140363,2.8189202102245577e-05,[4.05971991 5.1926316  2.74364056 4.08184228]
oak-d,5,1,0.5831260444197796,0.7027511462710135,0.00015762807280915743,[4.150569   6.0327503  7.0112996  2.97177246]
oak-d,6,1,0.564643357664785,1.440370718977389,0.003821512520154632,[3.86809974 3.76774818 4.12819204 2.74540559]
oak-d,7,3,3.3551311292107844,1.4290055912144093,2958.601043065779,
oak-d,8,3,1.635386762895295,0.7296065862928084,11.579841838455357,
oak-d,9,3,1.4431938998148444,0.4170137330173477,92.6375752783354,
oak-d-pro,10,3,1.77876079129165,0.8938064161396866,9.343587421226768,
oak-d-pro,11,1,0.6227528262645524,0.8983338022429798,0.00231332247396219,[3.39539635 5.8541507  3.85351362 2.73985772]
oak-d-pro,12,2,0.9999997479441697,104.58354093161475,,
oak-d-pro,13,2,0.9987896490679996,120.42979476638084,,
oak-d-pro,14,2,0.9990757465404225,192.17928496383018,,
oak-d-pro,6,1,0.3006266807129913,0.2328589122443347,1.5795448936275237e-06,[3.55188978 1.72643963 3.8812675  1.54759319]
oak-d-pro,7,3,3.7360401757468193,1.7483031474960196,2400.218637871464,
oak-d-pro,8,3,1.7839608746771112,0.8598843400366544,722.214430752405,
oak-d-pro,9,3,nan,nan,0.0,
oak-d-pro,1,1,0.09904556204962012,0.0007672796102397685,0.0,[0.51391263 3.29071489 1.12627539 0.27182823]
oak-d-pro,2,1,0.24588505155180132,0.02098724960502043,0.0,[4.53195676 2.04641493 2.79719917 2.48919322]
oak-d-pro,3,1,0.460168255218087,0.08306441970340665,0.0,[3.97080325 5.41335883 6.91261554 3.6085127 ]
oak-d-pro,4,1,0.7074554012043422,0.17780137116139216,4.3715846994535514e-05,[4.07621677 6.76406429 3.70271545 2.9661828 ]
oak-d-pro,5,1,1.4304502694895103,1.652061199251595,0.000199798437893676,[4.53927553 6.99291706 6.2571014  2.80174594]
orbbec,10,3,nan,nan,0.0,
orbbec,11,1,0.01809620908312975,0.010211787234801184,0.012479385786112242,[2.01516925 3.36938502 1.40014689 2.09335869]
orbbec,12,2,0.9013148204570186,57.83675772306265,,
orbbec,13,2,0.9988786421396808,103.61473761985482,,
orbbec,14,2,0.9988783877692843,147.64235479166376,,
orbbec,1,1,0.0068118664365912854,0.004828306227056547,0.0,[2.77645013 1.12874464 1.89005886 2.80443628]
orbbec,2,1,0.003592897140249299,0.009100253290109012,0.006272346786248131,[0.93278337 4.33327265 2.89576147 1.83244117]
orbbec,3,1,0.00986949831537513,0.023443665060524206,0.02634326374227852,[3.72801798 5.32343781 2.12049856 1.87582467]
orbbec,4,1,0.021181662014443704,0.04265020333327891,0.00216337438355787,[3.86417444 4.07298718 4.10997229 4.22103773]
orbbec,5,1,0.019804438276839902,0.10331903680550264,0.2190445237151539,[3.57749328 3.64194102 2.5344228  2.37426152]
orbbec,6,1,0.00619912989982524,0.010904808894754394,5.443674412284277e-05,[2.08051029 4.6107236  1.87425085 1.50035821]
orbbec,7,3,-0.003850958203556465,0.00541797825420636,3.7322451985505936,
orbbec,8,3,0.0016079551532054565,0.01181501084224276,8.395048795223063,
orbbec,9,3,0.00881304154973224,0.03698172686735647,16.47546129781859,
rsd435,10,3,-0.007126521997630628,0.04602645929001305,20.53226801139833,
rsd435,11,1,0.04153430738015902,0.1857849032307974,0.10108020895325001,[3.65332399 6.91396793 4.19273798 2.7089552 ]
rsd435,12,2,0.9946728597065344,61.460421126414325,,
rsd435,13,2,0.9923056695345246,102.89871343435992,,
rsd435,14,2,0.9967329048572331,122.30985296421674,,
rsd435,1,1,0.010587518011335048,0.008291901369678627,0.002161558553197117,[2.31187549 0.4170139  0.47071803 2.54847057]
rsd435,2,1,0.03055011610120915,0.04554050098887048,0.004526482840706209,[3.85126965 5.06308838 3.9137134  2.84621892]
rsd435,3,1,0.11265892621964055,0.10858053860053643,0.018662441527086165,[3.72177554 4.18633151 3.7405547  3.38605948]
rsd435,4,1,0.23598936342653254,0.24610894859351393,0.03831576123407109,[3.93957917 4.20825181 3.69364508 2.99012514]
rsd435,5,1,0.6916602731495609,0.7021588570489048,0.08380534670008355,[3.70672756 4.40389753 3.49879575 2.6259252 ]
rsd435,6,1,0.02718239997063544,0.026859700149512073,0.0212810950208292,[3.45111222 4.52293285 3.61005002 2.8185454 ]
rsd435,7,3,-0.006348589535497079,0.01162406243995407,8.353970013176088,
rsd435,8,3,-0.016288154255051653,0.016368038876911687,21.557996811118592,
rsd435,9,3,0.01786457466732,0.05330814091931922,17.274856208580367,
rsd455,10,3,-0.01528766922456682,0.013265963523000092,18.16826385538708,
rsd455,11,1,0.2959139857810379,0.7198042515146523,0.11653856960408687,[3.9784903  7.76510434 4.46726015 3.08435943]
rsd455,12,2,0.9941911191723768,52.808222927565666,,
rsd455,13,2,0.9925023298964724,95.22685328954606,,
rsd455,14,2,0.987420926517572,140.32449481722628,,
